Feature Dataset,Feature Class,Feature Type,Shape Type,Feature Count,Field Name,|,Frequency Count,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data exported 01/17/2022 08:50:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,SYSTEMTYPE,|,Total,100117,33,1273,101423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,CRITICALINDICATOR,|,Material,Null,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,CRITICALINDICATOR,|,1,39557,39557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,CRITICALINDICATOR,|,2,61125,61125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,CRITICALINDICATOR,|,3,652,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,CRITICALINDICATOR,|,4,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,CRITICALINDICATOR,|,7,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,CRITICALINDICATOR,|,Total,101423,101423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,SEAMTYPE,|,Material,Continuous Furnace Welded,Electric Resistance Welded,Electric Welded,High Frequency Electric Resistance Welded,Null,Seamless,Unknown,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,SEAMTYPE,|,1,1,475,1,21,38499,242,318,39557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,SEAMTYPE,|,2,0,0,0,0,60473,652,0,61125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,SEAMTYPE,|,3,0,0,0,0,643,9,0,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,SEAMTYPE,|,4,0,0,0,0,8,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,SEAMTYPE,|,7,0,0,0,0,80,1,0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,SEAMTYPE,|,Total,1,475,1,21,99703,904,318,101423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
